rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
688,C,LVS,1917,682,C,https://github.com/alibaba/LVS,alibaba,28,2019-07-02T02:59:08Z,"A distribution of Linux Virtual Server with some advanced features. It introduces a new packet forwarding method - FULLNAT other than NAT/Tunneling/DirectRouting, and defense mechanism against synflooding attack - SYNPROXY."
689,C,sigma-file-manager,1907,70,C,https://github.com/aleksey-hoffman/sigma-file-manager,aleksey-hoffman,77,2023-03-23T17:49:35Z,"""Sigma File Manager"" is a free, open-source, quickly evolving, modern file manager (explorer / finder) app for Windows and Linux."
690,C,gobpf,1905,300,C,https://github.com/iovisor/gobpf,iovisor,53,2023-02-27T14:43:02Z,Go bindings for creating BPF programs.
691,C,Chipmunk2D,1904,321,C,https://github.com/slembcke/Chipmunk2D,slembcke,31,2023-03-08T03:02:08Z,A fast and lightweight 2D game physics library.
692,C,simplest_ffmpeg_mobile,1903,769,C,https://github.com/leixiaohua1020/simplest_ffmpeg_mobile,leixiaohua1020,60,2016-04-19T11:30:33Z,ffmpeg examples in Android / IOS / WinPhone
693,C,php-rdkafka,1902,258,C,https://github.com/arnaud-lb/php-rdkafka,arnaud-lb,25,2022-07-26T18:44:01Z,"Production-ready, stable Kafka client for PHP"
694,C,rune,1902,46,C,https://github.com/google/rune,google,4,2023-03-26T00:41:29Z,Rune is a programming language developed to test ideas for improving security and efficiency.
695,C,keen,1897,173,C,https://github.com/keendreams/keen,keendreams,3,2014-11-12T20:12:32Z,Keen Dreams on Greenlight!
696,C,cc65,1896,369,C,https://github.com/cc65/cc65,cc65,159,2023-03-19T10:51:24Z,cc65 - a freeware C compiler for 6502 based systems
697,C,termbox,1895,185,C,https://github.com/nsf/termbox,nsf,17,2020-08-25T15:20:53Z,Library for writing text-based user interfaces
698,C,f3,1893,122,C,https://github.com/AltraMayor/f3,AltraMayor,48,2023-03-13T14:13:19Z,F3 - Fight Flash Fraud
699,C,txiki.js,1889,121,C,https://github.com/saghul/txiki.js,saghul,23,2023-03-09T13:25:39Z,A tiny JavaScript runtime
700,C,android_bootable_recovery,1885,1543,C,https://github.com/omnirom/android_bootable_recovery,omnirom,0,2023-02-15T20:58:36Z,
701,C,litex,2061,435,C,https://github.com/enjoy-digital/litex,enjoy-digital,161,2023-03-24T17:11:55Z,"Build your hardware, easily!"
702,C,ldd3,2056,827,C,https://github.com/martinezjavier/ldd3,martinezjavier,9,2023-03-09T15:24:49Z,Linux Device Drivers 3 examples updated to work in recent kernels
703,C,melonDS,2056,346,C,https://github.com/melonDS-emu/melonDS,melonDS-emu,523,2023-03-26T20:57:19Z,"DS emulator, sorta"
704,C,HID,2054,376,C,https://github.com/NicoHood/HID,NicoHood,70,2022-12-26T05:30:40Z,Bring enhanced HID functions to your Arduino!
705,C,nexmon,2052,421,C,https://github.com/seemoo-lab/nexmon,seemoo-lab,290,2023-03-24T21:49:00Z,"The C-based Firmware Patching Framework for Broadcom/Cypress WiFi Chips that enables Monitor Mode, Frame Injection and much more"
706,C,gps-sdr-sim,2051,679,C,https://github.com/osqzss/gps-sdr-sim,osqzss,138,2022-10-13T23:23:08Z,Software-Defined GPS Signal Simulator
707,C,moonlight-android,2044,376,C,https://github.com/moonlight-stream/moonlight-android,moonlight-stream,83,2023-03-12T08:13:10Z,GameStream client for Android
708,C,Down,2035,298,C,https://github.com/johnxnguyen/Down,johnxnguyen,20,2023-02-15T20:33:08Z,"Blazing fast Markdown / CommonMark rendering in Swift, built upon cmark."
709,C,tinn,2034,185,C,https://github.com/glouw/tinn,glouw,8,2021-01-17T23:06:12Z,A tiny neural network library
710,C,openmv,2030,930,C,https://github.com/openmv/openmv,openmv,34,2023-03-26T05:17:45Z,OpenMV Camera Module
711,C,wiredtiger,2020,350,C,https://github.com/wiredtiger/wiredtiger,wiredtiger,0,2023-03-27T09:50:27Z,WiredTiger's source tree
712,C,RTKLIB,2018,1416,C,https://github.com/tomojitakasu/RTKLIB,tomojitakasu,362,2023-02-26T23:56:32Z,
713,C,Adafruit-GFX-Library,2018,1456,C,https://github.com/adafruit/Adafruit-GFX-Library,adafruit,94,2023-03-27T01:33:04Z,"Adafruit GFX graphics core Arduino library, this is the 'core' class that all our other graphics libraries derive from"
714,C,tilck,2017,83,C,https://github.com/vvaltchev/tilck,vvaltchev,2,2023-01-21T15:10:13Z,A Tiny Linux-Compatible Kernel
715,C,proxydroid,2016,678,C,https://github.com/madeye/proxydroid,madeye,0,2023-01-18T11:26:36Z,Global Proxy for Android
716,C,HackSysExtremeVulnerableDriver,2015,498,C,https://github.com/hacksysteam/HackSysExtremeVulnerableDriver,hacksysteam,13,2022-12-07T08:23:48Z,HackSys Extreme Vulnerable Windows Driver (HEVD)
717,C,playerctl,2013,78,C,https://github.com/altdesktop/playerctl,altdesktop,50,2023-01-30T17:01:20Z,"🎧 mpris media player command-line controller for vlc, mpv, RhythmBox, web browsers, cmus, mpd, spotify and others."
718,C,nanos,2013,114,C,https://github.com/nanovms/nanos,nanovms,73,2023-03-26T10:46:01Z,A kernel designed to run one and only one application in a virtualized environment
719,C,c-jwt-cracker,2013,245,C,https://github.com/brendan-rius/c-jwt-cracker,brendan-rius,10,2021-04-23T22:31:53Z,JWT brute force cracker written in C
720,C,php-ext-xlswriter,2011,206,C,https://github.com/viest/php-ext-xlswriter,viest,39,2023-03-01T23:52:20Z,🚀 PHP Extension for creating and reader XLSX files. 
721,C,xcape,2011,122,C,https://github.com/alols/xcape,alols,40,2022-09-13T06:49:04Z,Linux utility to configure modifier keys to act as other keys when pressed and released on their own.
722,C,quadsort,2007,97,C,https://github.com/scandum/quadsort,scandum,3,2023-03-22T10:31:10Z,Quadsort is a branchless stable adaptive mergesort faster than quicksort.
723,C,ettercap,2002,474,C,https://github.com/Ettercap/ettercap,Ettercap,110,2023-03-25T09:52:50Z,Ettercap Project
724,C,ltp,1998,927,C,https://github.com/linux-test-project/ltp,linux-test-project,225,2023-03-24T11:40:59Z,Linux Test Project http://linux-test-project.github.io/
725,C,userland,1994,1096,C,https://github.com/raspberrypi/userland,raspberrypi,75,2023-03-22T14:36:56Z,Source code for ARM side libraries for interfacing to Raspberry Pi GPU.
726,C,liburing,1993,296,C,https://github.com/axboe/liburing,axboe,64,2023-03-25T13:56:15Z,
727,C,mc,1987,485,C,https://github.com/MidnightCommander/mc,MidnightCommander,0,2023-03-25T07:49:27Z,Midnight Commander's repository
728,C,wax,1983,639,C,https://github.com/probablycorey/wax,probablycorey,0,2017-03-30T07:41:40Z,Wax is now being maintained by alibaba
729,C,libarchive,1981,641,C,https://github.com/libarchive/libarchive,libarchive,357,2023-03-02T05:29:50Z,Multi-format archive and compression library
730,C,ServerStatus-Hotaru,1971,645,C,https://github.com/cokemine/ServerStatus-Hotaru,cokemine,51,2022-11-24T07:31:10Z,云探针、多服务器探针、云监控、多服务器云监控
731,C,Divert,1969,450,C,https://github.com/basil00/Divert,basil00,16,2023-03-15T23:09:58Z,WinDivert: Windows Packet Divert
732,C,pg_cron,1968,154,C,https://github.com/citusdata/pg_cron,citusdata,75,2023-03-13T12:29:12Z,Run periodic jobs in PostgreSQL
733,C,chafa,1968,41,C,https://github.com/hpjansson/chafa,hpjansson,29,2023-03-10T20:15:14Z,📺🗿 Terminal graphics for the 21st century.
734,C,oniguruma,1967,300,C,https://github.com/kkos/oniguruma,kkos,3,2023-02-21T10:25:26Z,regular expression library
735,C,pgbouncer,1962,367,C,https://github.com/pgbouncer/pgbouncer,pgbouncer,152,2023-03-24T08:15:12Z,lightweight connection pooler for PostgreSQL
736,C,FreeDVDBoot,1960,148,C,https://github.com/CTurt/FreeDVDBoot,CTurt,183,2022-02-02T08:15:09Z,PlayStation 2 DVD Player Exploit
737,C,rlwrap,1959,136,C,https://github.com/hanslub42/rlwrap,hanslub42,16,2023-03-25T22:06:03Z,A readline wrapper
738,C,fdupes,1957,168,C,https://github.com/adrianlopezroche/fdupes,adrianlopezroche,72,2022-11-06T01:34:39Z,FDUPES is a program for identifying or deleting duplicate files residing within specified directories.
739,C,sqlite,1946,542,C,https://github.com/mackyle/sqlite,mackyle,0,2023-03-27T09:52:52Z,Unofficial git mirror of SQLite sources (see link for build instructions)
740,C,inih,1944,419,C,https://github.com/benhoyt/inih,benhoyt,1,2022-12-02T21:39:43Z,"Simple .INI file parser in C, good for embedded systems"
741,C,open-vm-tools,1943,403,C,https://github.com/vmware/open-vm-tools,vmware,200,2023-03-24T21:22:33Z,Official repository of VMware open-vm-tools project
742,C,sundown,1939,394,C,https://github.com/vmg/sundown,vmg,33,2018-07-23T10:50:07Z,"Standards compliant, fast, secure markdown processing library in C"
743,C,printf-tac-toe,1937,56,C,https://github.com/carlini/printf-tac-toe,carlini,3,2022-06-08T08:33:53Z,tic-tac-toe in a single call to printf
744,C,go-sdl2,1935,220,C,https://github.com/veandco/go-sdl2,veandco,65,2023-02-10T02:20:32Z,SDL2 binding for Go
745,C,winevdm,1934,123,C,https://github.com/otya128/winevdm,otya128,267,2023-03-25T00:55:26Z,"16-bit Windows (Windows 1.x, 2.x, 3.0, 3.1, etc.) on 64-bit Windows"
746,C,box64,1931,131,C,https://github.com/ptitSeb/box64,ptitSeb,250,2023-03-27T08:00:39Z,"Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64 Linux devices"
747,C,noah,1930,93,C,https://github.com/linux-noah/noah,linux-noah,43,2020-06-09T10:30:59Z,Bash on Ubuntu on macOS
748,C,Remmina,1929,719,C,https://github.com/FreeRDP/Remmina,FreeRDP,0,2023-03-27T11:56:37Z,Mirror of https://gitlab.com/Remmina/Remmina The GTK+ Remmina Remote Desktop Client
749,C,toybox,1926,280,C,https://github.com/landley/toybox,landley,40,2023-03-26T01:07:25Z,toybox
750,C,mydumper,1926,396,C,https://github.com/mydumper/mydumper,mydumper,29,2023-03-23T13:56:46Z,Official MyDumper project
751,C,gobpf,1905,300,C,https://github.com/iovisor/gobpf,iovisor,53,2023-02-27T14:43:02Z,Go bindings for creating BPF programs.
752,C,Chipmunk2D,1904,321,C,https://github.com/slembcke/Chipmunk2D,slembcke,31,2023-03-08T03:02:08Z,A fast and lightweight 2D game physics library.
753,C,simplest_ffmpeg_mobile,1903,769,C,https://github.com/leixiaohua1020/simplest_ffmpeg_mobile,leixiaohua1020,60,2016-04-19T11:30:33Z,ffmpeg examples in Android / IOS / WinPhone
754,C,php-rdkafka,1902,258,C,https://github.com/arnaud-lb/php-rdkafka,arnaud-lb,25,2022-07-26T18:44:01Z,"Production-ready, stable Kafka client for PHP"
755,C,rune,1902,46,C,https://github.com/google/rune,google,4,2023-03-26T00:41:29Z,Rune is a programming language developed to test ideas for improving security and efficiency.
756,C,keen,1897,173,C,https://github.com/keendreams/keen,keendreams,3,2014-11-12T20:12:32Z,Keen Dreams on Greenlight!
757,C,cc65,1896,369,C,https://github.com/cc65/cc65,cc65,159,2023-03-19T10:51:24Z,cc65 - a freeware C compiler for 6502 based systems
