rank,repo_name,forks,stars,language,repo_url,description,id
1,tutorials,53004,33719,Java,https://github.com/eugenp/tutorials,"Just Announced - ""Learn Spring Security OAuth"": ",MDEwOlJlcG9zaXRvcnk5NzU0OTgz
2,JavaGuide,43694,132307,Java,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=
3,spring-boot,38276,66321,Java,https://github.com/spring-projects/spring-boot,Spring Boot,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw
4,spring-framework,35816,51231,Java,https://github.com/spring-projects/spring-framework,Spring Framework,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz
5,mall,26476,64419,Java,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=
6,dubbo,25748,38630,Java,https://github.com/apache/dubbo,"Apache Dubbo is a high-performance, java based, open source RPC framework.",MDEwOlJlcG9zaXRvcnk0NzEwOTIw
7,java-design-patterns,24766,80466,Java,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==
8,react-native,23093,108576,Java,https://github.com/facebook/react-native,A framework for building native applications using React,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==
9,elasticsearch,22895,63165,Java,https://github.com/elastic/elasticsearch,"Free and Open, Distributed, RESTful Search Engine",MDEwOlJlcG9zaXRvcnk1MDc3NzU=
10,advanced-java,18165,69307,Java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=
11,hello-world,17059,176,Java,https://github.com/yankils/hello-world,,MDEwOlJlcG9zaXRvcnkxNjI4NjU2NDc=
12,Java,16741,50867,Java,https://github.com/TheAlgorithms/Java,All Algorithms implemented in Java,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==
13,spring5webapp,16315,631,Java,https://github.com/springframeworkguru/spring5webapp,Example Spring 5 Web Application,MDEwOlJlcG9zaXRvcnk5MTM5NTExNw==
14,netty,15194,30923,Java,https://github.com/netty/netty,Netty project - an event-driven asynchronous network application framework,MDEwOlJlcG9zaXRvcnkxMDY0NTYz
15,LeetCodeAnimation,13855,72664,Java,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=
16,jeecg-boot,13306,34023,Java,https://github.com/jeecgboot/jeecg-boot,⭐️「企业级低代码平台」前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=
17,interviews,12525,59429,Java,https://github.com/kdn251/interviews,Everything you need to know to get the job.,MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==
18,kafka,12443,24482,Java,https://github.com/apache/kafka,Mirror of Apache Kafka,MDEwOlJlcG9zaXRvcnkyMjExMjQz
19,spring-boot-examples,12225,28709,Java,https://github.com/ityouknow/spring-boot-examples,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==
20,mybatis-3,12183,18322,Java,https://github.com/mybatis/mybatis-3,MyBatis SQL mapper framework for Java,MDEwOlJlcG9zaXRvcnk4MjA1NjAy
21,flink,11818,20952,Java,https://github.com/apache/flink,Apache Flink,MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==
22,nacos,11493,25867,Java,https://github.com/alibaba/nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=
23,rocketmq,10692,18980,Java,https://github.com/apache/rocketmq,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==
24,AndroidUtilCode,10565,31973,Java,https://github.com/Blankj/AndroidUtilCode,:fire: Android developers should collect the following utils(updating).,MDEwOlJlcG9zaXRvcnk2NDU1ODE0Mw==
25,guava,10451,47058,Java,https://github.com/google/guava,Google core libraries for Java,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==
26,vhr,10213,25734,Java,https://github.com/lenve/vhr,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。,MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=
27,apollo,10096,27894,Java,https://github.com/apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==
28,spring-boot-demo,10038,29065,Java,https://github.com/xkcoding/spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,MDEwOlJlcG9zaXRvcnkxMTAyMTExNDc=
29,xxl-job,9942,23907,Java,https://github.com/xuxueli/xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==
30,maven-project,9576,178,Java,https://github.com/jleetutorial/maven-project,Source code for James Lee's Jenkins course,MDEwOlJlcG9zaXRvcnk2OTA5MDgyOA==
31,weixin-java-tools,9454,2709,Java,https://github.com/chanjarster/weixin-java-tools,微信公众号、企业号Java SDK,MDEwOlJlcG9zaXRvcnkyMzA2MzUzMQ==
32,zxing,9279,30829,Java,https://github.com/zxing/zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",MDEwOlJlcG9zaXRvcnkyNTYyNzUx
34,time-tracker,9201,4,Java,https://github.com/taylor-training/time-tracker,Maven training - time tracker project,MDEwOlJlcG9zaXRvcnk4OTg3MTY4OA==
33,MPAndroidChart,8913,36276,Java,https://github.com/PhilJay/MPAndroidChart,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==
35,GitHub-Chinese-Top-Charts,8812,60793,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=
37,maven-web-application,8640,60,Java,https://github.com/MithunTechnologiesDevOps/maven-web-application,,MDEwOlJlcG9zaXRvcnkyMDc1ODc0MTM=
36,checkstyle,8557,7625,Java,https://github.com/checkstyle/checkstyle,"Checkstyle is a development tool to help programmers write Java code that adheres to a coding standard. By default it supports the Google Java Style Guide and Sun Code Conventions, but is highly configurable. It can be invoked with an ANT task and a command line program.",MDEwOlJlcG9zaXRvcnkxMjQ5OTI1MQ==
38,halo,8420,26490,Java,https://github.com/halo-dev/halo,强大易用的开源建站工具。,MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=
39,seata,8399,23550,Java,https://github.com/seata/seata,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=
40,druid,8355,26701,Java,https://github.com/alibaba/druid,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池,MDEwOlJlcG9zaXRvcnkyNzAwMTU5
41,hadoop,8297,13360,Java,https://github.com/apache/hadoop,Apache Hadoop,MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==
42,mall-learning,8176,11863,Java,https://github.com/macrozheng/mall-learning,mall学习教程，架构、业务、技术要点全方位解析。mall项目（50k+star）是一套电商系统，使用现阶段主流技术实现。涵盖了SpringBoot 2.3.0、MyBatis 3.4.6、Elasticsearch 7.6.2、RabbitMQ 3.7.15、Redis 5.0、MongoDB 4.2.5、Mysql5.7等技术，采用Docker容器化部署。,MDEwOlJlcG9zaXRvcnkxODEwMTI0MDY=
43,SpringCloudLearning,8082,17210,Java,https://github.com/forezp/SpringCloudLearning,《史上最简单的Spring Cloud教程源码》,MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==
44,jenkins,7976,20502,Java,https://github.com/jenkinsci/jenkins,Jenkins automation server,MDEwOlJlcG9zaXRvcnkxMTAzNjA3
45,pipelines-java,7935,94,Java,https://github.com/MicrosoftDocs/pipelines-java,Sample Java application referred to by Azure Pipelines documentation,MDEwOlJlcG9zaXRvcnkxNDYxOTA3Mzk=
46,ud839_Miwok,7767,698,Java,https://github.com/udacity/ud839_Miwok,,MDEwOlJlcG9zaXRvcnk1MDM5MDE1Mw==
47,spring-cloud-alibaba,7694,25159,Java,https://github.com/alibaba/spring-cloud-alibaba,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=
48,RxJava,7670,46879,Java,https://github.com/ReactiveX/RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,MDEwOlJlcG9zaXRvcnk3NTA4NDEx
49,SpringAll,7564,25254,Java,https://github.com/wuyouzhuguli/SpringAll,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc,MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=
50,DSA-Bootcamp-Java,7549,11180,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,"This repository consists of the code samples, assignments, and notes for the Java Data Structures & Algorithms bootcamp of Community Classroom.",MDEwOlJlcG9zaXRvcnkzOTEwNTU1OTc=
51,Sentinel,7524,20737,Java,https://github.com/alibaba/Sentinel,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=
52,zheng,7460,16465,Java,https://github.com/shuzheng/zheng,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。,MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==
53,selenium,7455,26144,Java,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,MDEwOlJlcG9zaXRvcnk3NjEzMjU3
54,quickstart-android,7438,8402,Java,https://github.com/firebase/quickstart-android,Firebase Quickstart Samples for Android,MDEwOlJlcG9zaXRvcnk1NzE0NzM0OQ==
55,Telegram,7340,21799,Java,https://github.com/DrKLO/Telegram,Telegram for Android source,MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==
56,retrofit,7253,41323,Java,https://github.com/square/retrofit,A type-safe HTTP client for Android and the JVM,MDEwOlJlcG9zaXRvcnk4OTIyNzU=
57,canal,7175,25350,Java,https://github.com/alibaba/canal,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,MDEwOlJlcG9zaXRvcnk3NTg3MDM4
58,JCSprout,7153,26958,Java,https://github.com/crossoverJie/JCSprout,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=
59,Arduino,7080,13473,Java,https://github.com/arduino/Arduino,Arduino IDE 1.x,MDEwOlJlcG9zaXRvcnk5MTkxNjE=
60,springboot-learning-example,7061,15344,Java,https://github.com/JeffLi1993/springboot-learning-example,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。,MDEwOlJlcG9zaXRvcnk4MTA1Nzg0Mg==
61,hutool,7025,25784,Java,https://github.com/dromara/hutool,🍬A set of tools that keep Java sweet.,MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==
62,eladmin,7021,19500,Java,https://github.com/elunez/eladmin,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,MDEwOlJlcG9zaXRvcnkxNjE3NTc4Mzc=
63,ud851-Exercises,6997,2051,Java,https://github.com/udacity/ud851-Exercises,,MDEwOlJlcG9zaXRvcnk3MjYwNDczNg==
64,easyexcel,6986,27251,Java,https://github.com/alibaba/easyexcel,快速、简洁、解决大文件内存溢出的java处理Excel工具,MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=
65,litemall,6947,17847,Java,https://github.com/linlinjava/litemall,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=
66,zookeeper,6946,11169,Java,https://github.com/apache/zookeeper,Apache ZooKeeper,MDEwOlJlcG9zaXRvcnkxNjA5OTk=
67,arthas,6915,32033,Java,https://github.com/alibaba/arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=
68,Activiti,6877,9305,Java,https://github.com/Activiti/Activiti,"Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people, developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application, on a server, on a cluster or in the cloud. It integrates perfectly with Spring, it is extremely lightweight and based on simple concepts. ",MDEwOlJlcG9zaXRvcnk1NzkzNzM4
69,miaosha,6658,25789,Java,https://github.com/qiurunze123/miaosha,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,MDEwOlJlcG9zaXRvcnkxNDg3MzYyNDM=
71,my-app,6603,80,Java,https://github.com/javahometech/my-app,,MDEwOlJlcG9zaXRvcnkxMjgwMTMwODc=
70,fastjson,6516,25223,Java,https://github.com/alibaba/fastjson,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade.",MDEwOlJlcG9zaXRvcnkyNzAwNDc0
72,libgdx,6395,21272,Java,https://github.com/libgdx/libgdx,Desktop/Android/HTML5/iOS Java game development framework,MDEwOlJlcG9zaXRvcnk1MzczNTUx
73,shardingsphere,6253,18161,Java,https://github.com/apache/shardingsphere,"Ecosystem to transform any database into a distributed database system, and enhance it with sharding, elastic scaling, encryption features & more",MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==
74,platform_frameworks_base,6226,10356,Java,https://github.com/aosp-mirror/platform_frameworks_base,,MDEwOlJlcG9zaXRvcnk2NTg4NQ==
75,Android-Universal-Image-Loader,6214,16814,Java,https://github.com/nostra13/Android-Universal-Image-Loader,"Powerful and flexible library for loading, caching and displaying images on Android.",MDEwOlJlcG9zaXRvcnkyODYyMjkw
76,hello-algorithm,6196,32165,Java,https://github.com/geekxh/hello-algorithm,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）点击下方网站，马上开始刷题！,MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=
77,skywalking,6149,21525,Java,https://github.com/apache/skywalking,"APM, Application Performance Monitoring System",MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==
78,AndroidTutorialForBeginners,6082,4045,Java,https://github.com/hussien89aa/AndroidTutorialForBeginners,Step by step to build Android apps using Android Studio,MDEwOlJlcG9zaXRvcnk2OTI3MDQwNw==
79,glide,6046,33477,Java,https://github.com/bumptech/glide,An image loading and caching library for Android focused on smooth scrolling,MDEwOlJlcG9zaXRvcnkxMTI2NzUwOQ==
80,ExoPlayer,5921,20539,Java,https://github.com/google/ExoPlayer,An extensible media player for Android,MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==
81,piggymetrics,5839,12240,Java,https://github.com/sqshq/piggymetrics,"Microservice Architecture with Spring Boot, Spring Cloud and Docker",MDEwOlJlcG9zaXRvcnkzMzA4Mjg2OA==
82,Signal-Android,5727,23447,Java,https://github.com/signalapp/Signal-Android,A private messenger for Android.,MDEwOlJlcG9zaXRvcnkyOTkwMTky
83,toBeTopJavaer,5407,24500,Java,https://github.com/hollischuang/toBeTopJavaer,To Be Top Javaer - Java工程师成神之路,MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=
84,coursera-android,5397,4280,Java,https://github.com/aporter/coursera-android,Source Code for Android Course Example Applications,MDEwOlJlcG9zaXRvcnkxNTY0ODg5OQ==
85,spring-security,5394,7557,Java,https://github.com/spring-projects/spring-security,Spring Security,MDEwOlJlcG9zaXRvcnkzMTQ4OTc5
86,SpringBoot-Labs,5358,16393,Java,https://github.com/yudaocode/SpringBoot-Labs,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=
87,lottie-android,5345,33727,Java,https://github.com/airbnb/lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==
88,cat,5316,17630,Java,https://github.com/dianping/cat,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",MDEwOlJlcG9zaXRvcnk3MDEwNzI0
89,keycloak,5252,15406,Java,https://github.com/keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services,MDEwOlJlcG9zaXRvcnkxMTEyNTU4OQ==
90,interview,5156,10717,Java,https://github.com/mission-peace/interview,Interview questions,MDEwOlJlcG9zaXRvcnkyMjA0Mzg0Nw==
91,openapi-generator,5129,15733,Java,https://github.com/OpenAPITools/openapi-generator,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",MDEwOlJlcG9zaXRvcnkxMzMxMzQwMDc=
92,SlidingMenu,5123,11130,Java,https://github.com/jfeinstein10/SlidingMenu,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!,MDEwOlJlcG9zaXRvcnk0ODM5OTU3
93,BaseRecyclerViewAdapterHelper,5022,23469,Java,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,BRVAH:Powerful and flexible RecyclerAdapter,MDEwOlJlcG9zaXRvcnk1NTg4Njc5OA==
94,redisson,5005,20845,Java,https://github.com/redisson/redisson,"Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ...",MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==
95,presto,4972,14576,Java,https://github.com/prestodb/presto,The official home of the Presto distributed SQL query engine for big data,MDEwOlJlcG9zaXRvcnk1MzQ5NTY1
96,deeplearning4j,4937,12844,Java,https://github.com/deeplearning4j/deeplearning4j,"Suite of tools for deploying and training deep learning models using the JVM. Highlights include model import for keras, tensorflow, and onnx/pytorch, a modular and tiny c++ library for running math code and a java based math library on top of the core c++ library. Also includes samediff: a pytorch/tensorflow like library for running deep learning using automatic differentiation.",MDEwOlJlcG9zaXRvcnkxNDczNDg3Ng==
97,aws-doc-sdk-examples,4932,7313,Java,https://github.com/awsdocs/aws-doc-sdk-examples,"Welcome to the AWS Code Examples Repository.  This repo contains code examples used in the AWS documentation, AWS SDK Developer Guides, and more. For more information, see the Readme.md file below.",MDEwOlJlcG9zaXRvcnk2NjAyMzYwNQ==
98,SmartRefreshLayout,4912,24112,Java,https://github.com/scwang90/SmartRefreshLayout,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。,MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==
99,SpringBoot-Learning,4831,15055,Java,https://github.com/dyc87112/SpringBoot-Learning,《Spring Boot基础教程》，2.x版本持续连载中！点击下方链接直达教程目录！,MDEwOlJlcG9zaXRvcnk2NjE3OTc2NQ==
105,hello-world,4792,39,Java,https://github.com/ValaxyTech/hello-world,,MDEwOlJlcG9zaXRvcnkxMzc5Mjg5NjU=
100,runelite,4783,4083,Java,https://github.com/runelite/runelite,Open source Old School RuneScape client,MDEwOlJlcG9zaXRvcnk1NzQ2MTIxMw==
101,Android-PullToRefresh,4772,8750,Java,https://github.com/chrisbanes/Android-PullToRefresh,DEPRECATED,MDEwOlJlcG9zaXRvcnkyODc0MDAx
102,ghidra,4755,38114,Java,https://github.com/NationalSecurityAgency/ghidra,Ghidra is a software reverse engineering (SRE) framework,MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=
103,DataX,4715,13159,Java,https://github.com/alibaba/DataX,DataX是阿里云DataWorks数据集成的开源版本。,MDEwOlJlcG9zaXRvcnkxMTc5NjU5NzI=
104,camel,4705,4783,Java,https://github.com/apache/camel,Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.,MDEwOlJlcG9zaXRvcnkyMDYzMTc=
106,Hystrix,4687,23279,Java,https://github.com/Netflix/Hystrix,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",MDEwOlJlcG9zaXRvcnk2NzY2NTU4
107,butterknife,4685,25647,Java,https://github.com/JakeWharton/butterknife,Bind Android views and callbacks to fields and methods.,MDEwOlJlcG9zaXRvcnk4NTc1MTM3
108,EventBus,4681,24304,Java,https://github.com/greenrobot/EventBus,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",MDEwOlJlcG9zaXRvcnk1MDcwMzg5
109,Java,4664,10894,Java,https://github.com/DuGuQiuBai/Java,27天成为Java大神,MDEwOlJlcG9zaXRvcnk0Njg0NDk1OA==
110,mall-swarm,4660,9993,Java,https://github.com/macrozheng/mall-swarm,mall-swarm是一套微服务商城系统，采用了 Spring Cloud 2021 & Alibaba、Spring Boot 2.7、Oauth2、MyBatis、Docker、Elasticsearch、Kubernetes等核心技术，同时提供了基于Vue的管理后台方便快速搭建系统。mall-swarm在电商业务的基础集成了注册中心、配置中心、监控中心、网关等系统功能。文档齐全，附带全套Spring Cloud教程。,MDEwOlJlcG9zaXRvcnkyMjM4ODE1NzY=
111,ud851-Sunshine,4632,2013,Java,https://github.com/udacity/ud851-Sunshine,,MDEwOlJlcG9zaXRvcnk3MjYwNDc5NQ==
112,proxyee-down,4543,25084,Java,https://github.com/proxyee-down-org/proxyee-down,http下载工具，基于http代理，支持多连接分块下载,MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=
113,Sunshine-Version-2,4503,2887,Java,https://github.com/udacity/Sunshine-Version-2,The official repository for Developing Android Apps,MDEwOlJlcG9zaXRvcnkzMTY5MDEwOA==
114,tomcat,4486,6569,Java,https://github.com/apache/tomcat,Apache Tomcat,MDEwOlJlcG9zaXRvcnkyNDkzOTA0
115,DevOpsClassCodes,4422,36,Java,https://github.com/edureka-git/DevOpsClassCodes,,MDEwOlJlcG9zaXRvcnk3ODUzNDE2MA==
116,jdk,4385,15500,Java,https://github.com/openjdk/jdk,JDK main-line development https://openjdk.org/projects/jdk,MDEwOlJlcG9zaXRvcnkxNDkxMjE5NTQ=
117,hive,4360,4724,Java,https://github.com/apache/hive,Apache Hive,MDEwOlJlcG9zaXRvcnkyMDY0NDQ=
118,paascloud-master,4345,9552,Java,https://github.com/paascloud/paascloud-master,spring cloud + vue + oAuth2.0全家桶实战，前后端分离模拟商城，完整的购物流程、后端运营平台，可以实现快速搭建企业级微服务项目。支持微信登录等三方登录。,MDEwOlJlcG9zaXRvcnkxMjU2MDAzOTU=
135,maven-web-application,4341,3,Java,https://github.com/LandmarkTechnology/maven-web-application,,MDEwOlJlcG9zaXRvcnkyODY4NDM5NDk=
119,CtCI-6th-Edition,4257,10583,Java,https://github.com/careercup/CtCI-6th-Edition,Cracking the Coding Interview 6th Ed. Solutions,MDEwOlJlcG9zaXRvcnkzODQxNTQ5OA==
120,devops-master-class,4248,1346,Java,https://github.com/in28minutes/devops-master-class,"Devops Tutorial for Beginners - Learn Docker, Kubernetes, Terraform, Ansible, Jenkins and Azure Devops",MDEwOlJlcG9zaXRvcnkyMzUwMTM1ODg=
121,thingsboard,4238,13372,Java,https://github.com/thingsboard/thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==
122,jadx,4231,33888,Java,https://github.com/skylot/jadx,Dex to Java decompiler,MDEwOlJlcG9zaXRvcnk4ODU5NDc0
123,gson,4220,21969,Java,https://github.com/google/gson,A Java serialization/deserialization library to convert Java Objects into JSON and back,MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==
124,android-async-http,4196,10647,Java,https://github.com/android-async-http/android-async-http,This project under develop,MDEwOlJlcG9zaXRvcnkxMzg4MjQ1
125,vprofile-project,4167,885,Java,https://github.com/devopshydclub/vprofile-project,,MDEwOlJlcG9zaXRvcnkyOTgzMjM2OTk=
126,aws-eks-kubernetes-masterclass,4125,758,Java,https://github.com/stacksimplify/aws-eks-kubernetes-masterclass,"AWS EKS Kubernetes - Masterclass | DevOps, Microservices",MDEwOlJlcG9zaXRvcnkyNTcyNjI2MjI=
127,webmagic,4121,10770,Java,https://github.com/code4craft/webmagic,A scalable web crawler framework for Java.,MDEwOlJlcG9zaXRvcnk5NjIzMDY0
133,spring-boot-mongo-docker,4109,28,Java,https://github.com/MithunTechnologiesDevOps/spring-boot-mongo-docker,,MDEwOlJlcG9zaXRvcnkxOTUwODcwMTE=
128,spring5-recipe-app,4105,150,Java,https://github.com/springframeworkguru/spring5-recipe-app,spring5-recipe-app,MDEwOlJlcG9zaXRvcnk5MjYxNjI5Ng==
130,Grasscutter,4102,12820,Java,https://github.com/Grasscutters/Grasscutter,A server software reimplementation for a certain anime game.,R_kgDOHMKsgg
129,ViewPagerIndicator,4099,10185,Java,https://github.com/JakeWharton/ViewPagerIndicator,Paging indicator widgets compatible with the ViewPager from the Android Support Library and ActionBarSherlock.,MDEwOlJlcG9zaXRvcnkyMTU1Nzkz
131,storm,4097,6432,Java,https://github.com/apache/storm,Mirror of Apache Storm,MDEwOlJlcG9zaXRvcnkxNDEzNTQ3MA==
132,spring-security-oauth,4092,4631,Java,https://github.com/spring-attic/spring-security-oauth,Support for adding OAuth1(a) and OAuth2 features (consumer and provider) for Spring web applications.,MDEwOlJlcG9zaXRvcnkyMTA4NDgx
