rank,repo_name,forks,stars,language,repo_url,description,id
949,java-goof,978,74,Java,https://github.com/snyk-labs/java-goof,,MDEwOlJlcG9zaXRvcnk5NDAxMzUzOA==
951,spring-cloud-kubernetes,978,3246,Java,https://github.com/spring-cloud/spring-cloud-kubernetes,"Kubernetes integration with Spring Cloud Discovery Client, Configuration, etc...",MDEwOlJlcG9zaXRvcnk3NjQwMDQyNg==
952,google-authenticator,977,4985,Java,https://github.com/google/google-authenticator,Open source version of Google Authenticator (except the Android app),MDEwOlJlcG9zaXRvcnkyNDk1MzA4MA==
950,Sunshine,976,6,Java,https://github.com/smeise/Sunshine,Android App for Android Fundamentals,MDEwOlJlcG9zaXRvcnkyMTI2OTk1OA==
953,EhViewer,976,7692,Java,https://github.com/seven332/EhViewer,[DEPRECATED] An Unofficial E-Hentai Application for Android,MDEwOlJlcG9zaXRvcnkxOTc3NzgxMg==
954,red5-server,976,3182,Java,https://github.com/Red5/red5-server,Red5 Server core,MDEwOlJlcG9zaXRvcnkxNDUxNDc2Nw==
957,lawnchair,976,6964,Java,https://github.com/LawnchairLauncher/lawnchair,No clever tagline needed.,MDEwOlJlcG9zaXRvcnk4Mzc5OTQzOQ==
955,phoenix,975,973,Java,https://github.com/apache/phoenix,Mirror of Apache Phoenix,MDEwOlJlcG9zaXRvcnkyMDQ3MzQxOA==
956,v9porn,975,4612,Java,https://github.com/techGay/v9porn,9*Porn Android 客户端，突破游客每天观看10次视频的限制，还可以下载视频,MDEwOlJlcG9zaXRvcnkxMjkyNjQ1OTA=
958,incubator-seatunnel,974,4878,Java,https://github.com/apache/incubator-seatunnel,"SeaTunnel is a distributed, high-performance data integration platform for the synchronization and transformation of massive data (offline & real-time).",MDEwOlJlcG9zaXRvcnk5OTQxMjMwOA==
959,PLDroidPlayer,973,4565,Java,https://github.com/pili-engineering/PLDroidPlayer,PLDroidPlayer 是七牛推出的一款免费的适用于 Android 平台的播放器 SDK，采用全自研的跨平台播放内核，拥有丰富的功能和优异的性能，可高度定制化和二次开发。,MDEwOlJlcG9zaXRvcnkzNjcwODMyMQ==
960,easy-rules,972,4347,Java,https://github.com/j-easy/easy-rules,"The simple, stupid rules engine for Java",MDEwOlJlcG9zaXRvcnk4Njg2Mzgw
961,Fast-Android-Networking,971,5545,Java,https://github.com/amitshekhariitbhu/Fast-Android-Networking,🚀 A Complete Fast Android Networking Library that also supports HTTP/2 🚀,MDEwOlJlcG9zaXRvcnk1NDQxMzQzNQ==
963,testng,971,1825,Java,https://github.com/cbeust/testng,TestNG testing framework,MDEwOlJlcG9zaXRvcnk3NDU3NDk=
962,MaterialDateTimePicker,970,4659,Java,https://github.com/wdullaer/MaterialDateTimePicker,Pick a date or time on Android in style,MDEwOlJlcG9zaXRvcnkyODc1Mjg1MA==
964,Luyten,970,4690,Java,https://github.com/deathmarine/Luyten,An Open Source Java Decompiler Gui for Procyon,MDEwOlJlcG9zaXRvcnkxMTMzOTc1NA==
966,micronaut-core,970,5638,Java,https://github.com/micronaut-projects/micronaut-core,Micronaut Application Framework,MDEwOlJlcG9zaXRvcnkxMjQyMzAyMDQ=
965,AlgorithmsSedgewick,969,2708,Java,https://github.com/aistrate/AlgorithmsSedgewick,"Code from the book ""Algorithms"" (4th ed.) by Robert Sedgewick and Kevin Wayne (original, and my solutions to exercises).",MDEwOlJlcG9zaXRvcnkyOTUzOTYy
967,DKVideoPlayer,969,4470,Java,https://github.com/Doikki/DKVideoPlayer,Android Video Player. 安卓视频播放器，封装MediaPlayer、ExoPlayer、IjkPlayer。模仿抖音并实现预加载，列表播放，悬浮播放，广告播放，弹幕，视频水印，视频滤镜,MDEwOlJlcG9zaXRvcnk4Nzg3NDUyMQ==
968,nutz,968,2489,Java,https://github.com/nutzam/nutz,Nutz -- Web Framework(Mvc/Ioc/Aop/Dao/Json) for ALL Java developer,MDEwOlJlcG9zaXRvcnkxODczODgx
970,javadevjournal,966,384,Java,https://github.com/javadevjournal/javadevjournal,Source code for the tutorials published on the Javadevjournal site.,MDEwOlJlcG9zaXRvcnkxMjg5NjAyNzA=
973,gocd,964,6748,Java,https://github.com/gocd/gocd,Main repository for GoCD - Continuous Delivery server,MDEwOlJlcG9zaXRvcnkxNTE1NTUzNA==
