rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
158,Java,ansj_seg,6268,2334,Java,https://github.com/NLPchina/ansj_seg,NLPchina,41,2021-08-15T10:21:39Z,"ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典"
159,Java,Android-CandyCodedApplication,52,2309,Java,https://github.com/pluralsight-projects/Android-CandyCodedApplication,pluralsight-projects,2,2022-10-14T14:52:47Z,
160,Java,AndroidSlidingUpPanel,9454,2309,Java,https://github.com/umano/AndroidSlidingUpPanel,umano,267,2022-07-21T00:21:03Z,This library provides a simple way to add a draggable sliding up panel (popularized by Google Music and Google Maps) to your Android application. Brought to you by Umano.
161,Java,Potato,584,2310,Java,https://github.com/drtshock/Potato,drtshock,18,2023-01-07T17:20:04Z,If you fork this then you can say you forked a potato.
162,Java,flowable-engine,6235,2301,Java,https://github.com/flowable/flowable-engine,flowable,284,2023-03-26T20:36:42Z,"A compact and highly efficient workflow and Business Process Management (BPM) platform for developers, system admins and business users."
163,Java,zuul,12515,2283,Java,https://github.com/Netflix/zuul,Netflix,241,2023-03-26T03:02:07Z,"Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more."
164,Java,booksource,3009,2274,Java,https://github.com/guolindev/booksource,guolindev,9,2019-12-17T05:48:22Z,《第一行代码 第2版》全书源代码
165,Java,wechat,5250,2269,Java,https://github.com/motianhuo/wechat,motianhuo,42,2018-08-23T07:54:02Z,"A High Copy WeChat ,SNS APP (高仿微信)"
166,Java,devops-java-sample,115,2250,Java,https://github.com/kubesphere/devops-java-sample,kubesphere,2,2021-11-23T03:19:15Z,SpringBoot demo for DevOps on KubeSphere
167,Java,traccar,3998,2245,Java,https://github.com/traccar/traccar,traccar,354,2023-03-26T16:55:09Z,Traccar GPS Tracking System
168,Java,--,3818,2217,Java,https://github.com/981011512/--,981011512,21,2023-03-23T03:56:06Z,停车场系统源码，新能源充电桩系统，停车场小程序，智能停车，Parking system，【功能介绍】：①兼容市面上主流的多家相机，理论上兼容所有硬件，可灵活扩展，②相机识别后数据自动上传到云端并记录，校验相机唯一id和硬件序列号，防止非法数据录入，③用户手机查询停车记录详情可自主缴费(支持微信，支付宝，银行接口支付，支持每个停车场指定不同的商户进行收款)，支付后出场在免费时间内会自动抬杆。④支持app上查询附近停车场(导航，可用车位数，停车场费用，优惠券，评分，评论等)，可预约车位。⑤断电断网支持岗亭人员使用app可接管硬件进行停车记录的录入。 【技术架构】：后端开发语言java，框架oauth2+springboot2+dubble，数据库mysql/mongodb/redis，即时通讯底层框架netty4，安卓和ios均为原生开发，后台管理模板vue专业定制
