rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
818,C,inih,1944,419,C,https://github.com/benhoyt/inih,benhoyt,1,2022-12-02T21:39:43Z,"Simple .INI file parser in C, good for embedded systems"
819,C,Lilu,3283,418,C,https://github.com/acidanthera/Lilu,acidanthera,0,2023-03-12T11:33:20Z,Arbitrary kext and process patching on macOS
820,C,rdesktop,1143,418,C,https://github.com/rdesktop/rdesktop,rdesktop,93,2022-10-06T18:52:48Z,🚨 rdesktop is in need of a new maintainter. Please see the home page for more details. 🚨
821,C,ring,1063,418,C,https://github.com/ring-lang/ring,ring-lang,0,2023-03-25T00:51:03Z,Simple and flexible programming language for applications development
822,C,kernel-msm,547,417,C,https://github.com/MotorolaMobilityLLC/kernel-msm,MotorolaMobilityLLC,36,2023-03-09T20:21:01Z,Linux Kernel for Motorola devices using MSM-based chipset
823,C,icmpsh,1393,416,C,https://github.com/bdamele/icmpsh,bdamele,5,2018-04-06T17:15:44Z,Simple reverse ICMP shell
824,C,ChibiOS,580,418,C,https://github.com/ChibiOS/ChibiOS,ChibiOS,0,2023-02-02T17:32:41Z,Read only mirror of SVN ChibiOS repository at https://sourceforge.net/projects/chibios/
825,C,desmume,2103,414,C,https://github.com/TASEmulators/desmume,TASEmulators,44,2023-03-07T06:19:10Z,DeSmuME is a Nintendo DS emulator
826,C,libnfc,1405,413,C,https://github.com/nfc-tools/libnfc,nfc-tools,91,2023-02-15T12:35:10Z,Platform independent Near Field Communication (NFC) library
827,C,stm32fxxx-hal-libraries,682,413,C,https://github.com/MaJerle/stm32fxxx-hal-libraries,MaJerle,9,2022-07-15T13:25:57Z,Libraries for STM32F4xx and STM32F7xx built on HAL drivers from ST
828,C,macvim,5127,413,C,https://github.com/b4winckler/macvim,b4winckler,0,2017-08-05T22:27:23Z,Vim - the text editor - for Mac OS X
829,C,ponyc,5380,414,C,https://github.com/ponylang/ponyc,ponylang,245,2023-03-22T16:31:59Z,":horse: Pony is an open-source, actor-model, capabilities-secure, high performance programming language"
830,C,books,847,413,C,https://github.com/mobinsheng/books,mobinsheng,2,2018-07-10T12:23:58Z,技术书籍
831,C,trex-core,1061,414,C,https://github.com/cisco-system-traffic-generator/trex-core,cisco-system-traffic-generator,134,2023-03-27T07:52:36Z,trex-core site
832,C,PPS,15,408,C,https://github.com/gne-ldh/PPS,gne-ldh,1,2021-02-18T07:06:24Z,Programming for Problem Solving
833,C,patchelf,2624,411,C,https://github.com/NixOS/patchelf,NixOS,71,2023-03-27T05:38:44Z,A small utility to modify the dynamic linker and RPATH of ELF executables
834,C,log.c,1825,411,C,https://github.com/rxi/log.c,rxi,10,2023-03-22T15:24:58Z,A simple logging library implemented in C99
835,C,Test3Session2,2,411,C,https://github.com/srinirad/Test3Session2,srinirad,0,2022-03-03T08:48:34Z,
836,C,libwdi,1424,411,C,https://github.com/pbatard/libwdi,pbatard,0,2023-03-01T18:42:02Z,Windows Driver Installer library for USB devices 
837,C,Yolo-Fastest,1793,409,C,https://github.com/dog-qiuqiu/Yolo-Fastest,dog-qiuqiu,57,2021-08-11T16:55:55Z,":zap: Based on yolo's ultra-lightweight universal target detection algorithm, the calculation amount is only 250mflops, the ncnn model size is only 666kb, the Raspberry Pi 3b can run up to 15fps+, and the mobile terminal can run up to 178fps+"
838,C,iniparser,855,410,C,https://github.com/ndevilla/iniparser,ndevilla,23,2022-08-24T19:01:34Z,ini file parser
839,C,nng,3112,409,C,https://github.com/nanomsg/nng,nanomsg,100,2023-02-08T23:48:17Z,nanomsg-next-generation -- light-weight brokerless messaging
840,C,NetHack,2293,409,C,https://github.com/NetHack/NetHack,NetHack,80,2023-03-27T10:37:43Z,Official NetHack Git Repository
841,C,zimg,2681,408,C,https://github.com/buaazp/zimg,buaazp,106,2018-03-29T09:22:38Z,A lightweight and high performance image storage and processing system.
842,C,esp-who,1417,408,C,https://github.com/espressif/esp-who,espressif,56,2023-03-02T11:45:38Z,Face detection and recognition framework
843,C,sysstat,2518,407,C,https://github.com/sysstat/sysstat,sysstat,52,2023-03-11T17:24:59Z,Performance monitoring tools for Linux
844,C,os_lab_2019,16,403,C,https://github.com/IpovsOperatingSystems/os_lab_2019,IpovsOperatingSystems,0,2022-06-03T19:55:48Z,The operating system practical course 2019
845,C,go-tun2socks,1172,406,C,https://github.com/eycorsican/go-tun2socks,eycorsican,7,2021-02-01T12:18:10Z,A tun2socks implementation written in Go.
846,C,CVE-2019-0708,3,404,C,https://github.com/victor0013/CVE-2019-0708,victor0013,0,2019-05-22T02:13:25Z,Scanner PoC for CVE-2019-0708 RDP RCE vuln
847,C,reaver-wps-fork-t6x,1488,405,C,https://github.com/t6x/reaver-wps-fork-t6x,t6x,22,2022-10-03T06:09:41Z,
848,C,phptrace,1678,405,C,https://github.com/Qihoo360/phptrace,Qihoo360,27,2018-11-28T15:12:11Z,A tracing and troubleshooting tool for PHP scripts.
849,C,CSAPP-Labs,1883,405,C,https://github.com/Exely/CSAPP-Labs,Exely,3,2023-02-15T15:50:22Z,Solutions and Notes for Labs of Computer Systems: A Programmer's Perspective 3rd Editon // 《深入理解计算机系统》第三版的实验文件、解答与笔记
850,C,PolarDB-for-PostgreSQL,2555,405,C,https://github.com/ApsaraDB/PolarDB-for-PostgreSQL,ApsaraDB,5,2023-03-25T06:06:23Z,A cloud-native database based on PostgreSQL developed by Alibaba Cloud.
851,C,Android-Inline-Hook,1249,425,C,https://github.com/ele7enxxh/Android-Inline-Hook,ele7enxxh,14,2020-06-23T01:56:06Z,thumb16 thumb32 arm32 inlineHook in Android
852,C,redshift,5577,425,C,https://github.com/jonls/redshift,jonls,238,2022-12-14T16:59:29Z,Redshift adjusts the color temperature of your screen according to your surroundings. This may help your eyes hurt less if you are working in front of the screen at night.
853,C,rtty,3152,425,C,https://github.com/zhaojh329/rtty,zhaojh329,5,2023-01-16T05:27:37Z,🐛 Access your terminal from anywhere via the web.
854,C,pps-IA1-practice,3,424,C,https://github.com/srinirad/pps-IA1-practice,srinirad,1,2022-02-03T10:39:56Z,
855,C,binutils-gdb,407,422,C,https://github.com/bminor/binutils-gdb,bminor,0,2023-03-23T01:02:00Z,Unofficial mirror of sourceware binutils-gdb repository. Updated daily.
856,C,bspwm,6884,422,C,https://github.com/baskerville/bspwm,baskerville,293,2023-03-25T07:40:37Z,A tiling window manager based on binary space partitioning
857,C,antispy,1016,423,C,https://github.com/mohuihui/antispy,mohuihui,2,2021-04-22T03:04:43Z,"AntiSpy is a free but powerful anti virus and rootkits toolkit.It offers you the ability with the highest privileges that can detect,analyze and restore various kernel modifications and hooks.With its assistance,you can easily spot and neutralize malwares hidden from normal detectors."
858,C,ubertooth,1726,423,C,https://github.com/greatscottgadgets/ubertooth,greatscottgadgets,22,2022-12-15T22:45:56Z,"Software, firmware, and hardware designs for Ubertooth"
859,C,apriltag,1061,423,C,https://github.com/AprilRobotics/apriltag,AprilRobotics,24,2022-12-29T22:13:48Z,AprilTag is a visual fiducial system popular for robotics research.
860,C,Gray-Hacker-and-PenTesting,15,421,C,https://github.com/mariusv/Gray-Hacker-and-PenTesting,mariusv,0,2022-05-24T18:28:59Z,
861,C,tidy-html5,2545,422,C,https://github.com/htacg/tidy-html5,htacg,148,2023-02-25T08:48:09Z,"The granddaddy of HTML tools, with support for modern standards"
862,C,libtomcrypt,1353,421,C,https://github.com/libtom/libtomcrypt,libtom,46,2023-03-15T11:14:20Z,"LibTomCrypt is a fairly comprehensive, modular and portable cryptographic toolkit that provides developers with a vast array of well known published block ciphers, one-way hash functions, chaining modes, pseudo-random number generators, public key cryptography and a plethora of other routines."
863,C,Broadway,2629,421,C,https://github.com/mbebenita/Broadway,mbebenita,77,2023-01-22T15:40:35Z,A JavaScript H.264 decoder.
864,C,nexmon,2052,421,C,https://github.com/seemoo-lab/nexmon,seemoo-lab,290,2023-03-24T21:49:00Z,"The C-based Firmware Patching Framework for Broadcom/Cypress WiFi Chips that enables Monitor Mode, Frame Injection and much more"
865,C,zsh,3075,420,C,https://github.com/zsh-users/zsh,zsh-users,0,2023-03-10T06:05:47Z,Mirror of the Z shell source code repository.
866,C,rtl8821CU,1295,421,C,https://github.com/brektrou/rtl8821CU,brektrou,110,2023-02-16T21:20:52Z,Realtek RTL8811CU/RTL8821CU USB Wi-Fi adapter driver for Linux
867,C,msquic,3273,419,C,https://github.com/microsoft/msquic,microsoft,112,2023-03-26T14:27:11Z,"Cross-platform, C implementation of the IETF QUIC protocol, exposed to C, C++, C# and Rust."
868,C,afl,596,421,C,https://github.com/mirrorer/afl,mirrorer,0,2017-11-05T04:42:07Z,american fuzzy lop (copy of the source code for easy access)
869,C,inih,1944,419,C,https://github.com/benhoyt/inih,benhoyt,1,2022-12-02T21:39:43Z,"Simple .INI file parser in C, good for embedded systems"
870,C,Lilu,3283,418,C,https://github.com/acidanthera/Lilu,acidanthera,0,2023-03-12T11:33:20Z,Arbitrary kext and process patching on macOS
871,C,rdesktop,1143,418,C,https://github.com/rdesktop/rdesktop,rdesktop,93,2022-10-06T18:52:48Z,🚨 rdesktop is in need of a new maintainter. Please see the home page for more details. 🚨
872,C,ring,1063,418,C,https://github.com/ring-lang/ring,ring-lang,0,2023-03-25T00:51:03Z,Simple and flexible programming language for applications development
873,C,kernel-msm,547,417,C,https://github.com/MotorolaMobilityLLC/kernel-msm,MotorolaMobilityLLC,36,2023-03-09T20:21:01Z,Linux Kernel for Motorola devices using MSM-based chipset
874,C,icmpsh,1393,416,C,https://github.com/bdamele/icmpsh,bdamele,5,2018-04-06T17:15:44Z,Simple reverse ICMP shell
875,C,ChibiOS,580,418,C,https://github.com/ChibiOS/ChibiOS,ChibiOS,0,2023-02-02T17:32:41Z,Read only mirror of SVN ChibiOS repository at https://sourceforge.net/projects/chibios/
876,C,desmume,2103,414,C,https://github.com/TASEmulators/desmume,TASEmulators,44,2023-03-07T06:19:10Z,DeSmuME is a Nintendo DS emulator
877,C,libnfc,1405,413,C,https://github.com/nfc-tools/libnfc,nfc-tools,91,2023-02-15T12:35:10Z,Platform independent Near Field Communication (NFC) library
878,C,stm32fxxx-hal-libraries,682,413,C,https://github.com/MaJerle/stm32fxxx-hal-libraries,MaJerle,9,2022-07-15T13:25:57Z,Libraries for STM32F4xx and STM32F7xx built on HAL drivers from ST
879,C,macvim,5127,413,C,https://github.com/b4winckler/macvim,b4winckler,0,2017-08-05T22:27:23Z,Vim - the text editor - for Mac OS X
880,C,cs50,311,414,C,https://github.com/mareksuscak/cs50,mareksuscak,3,2021-06-10T09:04:12Z,🎓 Harvard CS50x — 2018 solutions 👨‍🏫
881,C,ponyc,5380,414,C,https://github.com/ponylang/ponyc,ponylang,245,2023-03-22T16:31:59Z,":horse: Pony is an open-source, actor-model, capabilities-secure, high performance programming language"
882,C,books,847,413,C,https://github.com/mobinsheng/books,mobinsheng,2,2018-07-10T12:23:58Z,技术书籍
883,C,trex-core,1061,414,C,https://github.com/cisco-system-traffic-generator/trex-core,cisco-system-traffic-generator,134,2023-03-27T07:52:36Z,trex-core site
884,C,PPS,15,408,C,https://github.com/gne-ldh/PPS,gne-ldh,1,2021-02-18T07:06:24Z,Programming for Problem Solving
885,C,patchelf,2624,411,C,https://github.com/NixOS/patchelf,NixOS,71,2023-03-27T05:38:44Z,A small utility to modify the dynamic linker and RPATH of ELF executables
886,C,log.c,1825,411,C,https://github.com/rxi/log.c,rxi,10,2023-03-22T15:24:58Z,A simple logging library implemented in C99
887,C,Test3Session2,2,411,C,https://github.com/srinirad/Test3Session2,srinirad,0,2022-03-03T08:48:34Z,
888,C,libwdi,1424,411,C,https://github.com/pbatard/libwdi,pbatard,0,2023-03-01T18:42:02Z,Windows Driver Installer library for USB devices 
889,C,Yolo-Fastest,1793,409,C,https://github.com/dog-qiuqiu/Yolo-Fastest,dog-qiuqiu,57,2021-08-11T16:55:55Z,":zap: Based on yolo's ultra-lightweight universal target detection algorithm, the calculation amount is only 250mflops, the ncnn model size is only 666kb, the Raspberry Pi 3b can run up to 15fps+, and the mobile terminal can run up to 178fps+"
890,C,iniparser,855,410,C,https://github.com/ndevilla/iniparser,ndevilla,23,2022-08-24T19:01:34Z,ini file parser
891,C,nng,3112,409,C,https://github.com/nanomsg/nng,nanomsg,100,2023-02-08T23:48:17Z,nanomsg-next-generation -- light-weight brokerless messaging
892,C,NetHack,2293,409,C,https://github.com/NetHack/NetHack,NetHack,80,2023-03-27T10:37:43Z,Official NetHack Git Repository
