rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
758,bistoury,771,3658,Java,https://github.com/qunarcorp/bistoury,Bistoury是去哪儿网的java应用生产问题诊断工具，提供了一站式的问题诊断方案,MDEwOlJlcG9zaXRvcnkyMDAwMDQ0NDc=,2022-12-16T08:45:38Z
759,oshi,793,3654,Java,https://github.com/oshi/oshi,Native Operating System and Hardware Information,MDEwOlJlcG9zaXRvcnkzNDA3MTE0,2023-03-28T04:00:00Z
760,h2database,1107,3650,Java,https://github.com/h2database/h2database,H2 is an embeddable RDBMS written in Java.,MDEwOlJlcG9zaXRvcnkzMzc0NTkxMw==,2023-03-22T09:32:46Z
761,incubator-heron,624,3648,Java,https://github.com/apache/incubator-heron,"Apache Heron (Incubating) is a realtime, distributed, fault-tolerant stream processing engine from Twitter",MDEwOlJlcG9zaXRvcnk0MzE1ODY5NA==,2023-03-01T15:11:08Z
762,jpexs-decompiler,585,3644,Java,https://github.com/jindrapetrik/jpexs-decompiler,JPEXS Free Flash Decompiler,MDEwOlJlcG9zaXRvcnkxOTY0NzMyOA==,2023-03-26T21:02:44Z
763,crate,516,3643,Java,https://github.com/crate/crate,CrateDB is a distributed SQL database that makes it simple to store and analyze massive amounts of data in real-time. Built on top of Lucene.,MDEwOlJlcG9zaXRvcnk5MzQyNTI5,2023-03-28T09:09:03Z
764,XChange,1884,3640,Java,https://github.com/knowm/XChange,XChange is a Java library providing a streamlined API for interacting with 60+ Bitcoin and Altcoin exchanges providing a consistent interface for trading and accessing market data.,MDEwOlJlcG9zaXRvcnkzMzMzOTk4,2023-03-24T12:05:52Z
765,xboot,1294,3637,Java,https://github.com/Exrick/xboot,基于Spring Boot 2.x的一站式前后端分离快速开发平台XBoot 微信小程序+Uniapp 前端：Vue+iView Admin 后端：Spring Boot 2.x/Spring Security/JWT/JPA+Mybatis-Plus/Redis/Elasticsearch/Activiti 分布式限流/同步锁/验证码/SnowFlake雪花算法ID 动态权限 数据权限 工作流 代码生成 定时任务 社交账号 短信登录 单点登录 OAuth2开放平台 客服机器人 数据大屏 暗黑模式,MDEwOlJlcG9zaXRvcnkxMzA3MTE5Njg=,2022-10-25T03:25:45Z
766,CustomActivityOnCrash,542,3634,Java,https://github.com/Ereza/CustomActivityOnCrash,"Android library that allows launching a custom activity when your app crashes, instead of showing the hated ""Unfortunately, X has stopped"" dialog.",MDEwOlJlcG9zaXRvcnkyMTUwNjUwMg==,2022-08-28T05:00:44Z
767,android-common,1103,3633,Java,https://github.com/litesuits/android-common,"Android Common Utils or Helper. Such as Log, Averager, Base64, Check, FlashLight, KeyguardLock, LogReader, Network, SilentInstaller, TimeAverager, TimeCounter, Toastor, WakeLock, ScreenReceiver, SmsReceiver, PhoneReceiver, NotificationService, AndroidUtil, AppUtil, BitmapUtil, ByteUtil, ClassUtil, DialogUtil, FieldUtil, FileUtil, HexUtil, MD5Util, NotificationUtil, NumberUtil, PackageUtil, RandomUtil, ShellUtil, TelephoneUtil, VibrateUtil, IOUtils, FileUtils, AsyncExecutor, etc.  通用性强，纯洁简单，体积不到50K！其中包括bitmap处理，文件操作，加密存储器，shell命令，静默安装，计数器，均值器，吐司，日志，校验，提示，网络监测等基础功能，以及一些Base64、MD5、Hex、Byte、Number、Dialog、Filed、Class、Package、Telephone、Random等工具类。",MDEwOlJlcG9zaXRvcnkyMDI4Njg1OA==,2017-09-06T00:23:05Z
